The SAS System,,,,,,,,,,,
,,,,,,,,,,,
IPO_Firm_Name,IPODate,PERMNO,Names Date,Returns,Value-Weighted,Return on the S&P,,,,,
,,,,,Return-incl. dividends,500 Index,Holding Period,Month,1+Daily Return,1+Vwretd,1+SPrtrn
Construction Partners Inc,5/4/2018,17801,12/10/2018,-0.027778,-0.000255,0.001762,,,0.972222,0.999745,1.001762
Construction Partners Inc,5/4/2018,17801,12/11/2018,0.001143,-0.000717,-0.000356,,,1.001143,0.999283,0.999644
Construction Partners Inc,5/4/2018,17801,12/12/2018,0.030822,0.006327,0.005419,,,1.030822,1.006327,1.005419
Construction Partners Inc,5/4/2018,17801,12/13/2018,-0.086379,-0.002157,-0.0002,,,0.913621,0.997843,0.9998
Construction Partners Inc,5/4/2018,17801,12/14/2018,0.010909,-0.0171,-0.019087,,,1.010909,0.9829,0.980913
Construction Partners Inc,5/4/2018,17801,12/17/2018,0.002398,-0.020886,-0.020773,,,1.002398,0.979114,0.979227
Construction Partners Inc,5/4/2018,17801,12/18/2018,0.029904,-0.000164,0.000086,,,1.029904,0.999836,1.000086
Construction Partners Inc,5/4/2018,17801,12/19/2018,0.005807,-0.014833,-0.015396,,,1.005807,0.985167,0.984604
Construction Partners Inc,5/4/2018,17801,12/20/2018,-0.056582,-0.015372,-0.015772,,,0.943418,0.984628,0.984228
Construction Partners Inc,5/4/2018,17801,12/21/2018,0.041616,-0.020591,-0.020588,,,1.041616,0.979409,0.979412
Construction Partners Inc,5/4/2018,17801,12/24/2018,-0.027027,-0.024166,-0.027112,,,0.972973,0.975834,0.972888
Construction Partners Inc,5/4/2018,17801,12/26/2018,0.085749,0.04686,0.049594,,,1.085749,1.04686,1.049594
Construction Partners Inc,5/4/2018,17801,12/27/2018,-0.07119,0.006822,0.008563,,,0.92881,1.006822,1.008563
Construction Partners Inc,5/4/2018,17801,12/28/2018,0.067066,0.000154,-0.001242,,,1.067066,1.000154,0.998758
Construction Partners Inc,5/4/2018,17801,12/31/2018,-0.008979,0.008318,0.008492,,,0.991021,1.008318,1.008492
